"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"12090",23,15,22,NA,0.16531230209269,0.0399999999999991,0,0
"6367",19,23,24,19,0.165319871961145,0.0700000000000003,0,0
"10405",22,21,18,19,0.165321673484452,0.0699999999999932,0,0
"7717",20,21,15,23,0.165324378110511,0.0600000000000023,0,0
"12091",23,20,18,16,0.165333327977884,0.0500000000000114,0,0
"13474",24,17,20,NA,0.165337246823595,0.0600000000000005,0,0
"13475",24,20,21,21,0.16534042271582,0.0500000000000114,0,0
"9136",21,20,23,NA,0.165342072029421,0.0499999999999998,0,0
"4839",18,24,15,15,0.165344718708422,0.0599999999999952,0,0
"14893",25,23,24,22,0.165355172385236,0.0699999999999932,0,0
"12092",23,25,17,17,0.165356633612865,0.0300000000000011,0,0
"1766",16,17,19,25,0.165359957736168,0.0499999999999989,0,0
"12093",23,17,18,16,0.165364697636575,0.0600000000000023,0,0
"483",15,22,17,17,0.165372794016201,0.0600000000000005,0,0
"1767",16,21,25,16,0.165374069797644,0.0599999999999987,0,0
"13476",24,17,24,22,0.165375737606943,0.0700000000000074,0,0
"484",15,21,15,20,0.165381226507367,0.0499999999999998,0,0
"9137",21,18,24,18,0.165383527900387,0.0599999999999881,0,0
"13477",24,21,23,25,0.165383906463622,0.0900000000000034,0,0
"10406",22,20,24,16,0.165385425100084,0.0599999999999881,0,0
"3409",17,21,15,17,0.165388396367757,0.0500000000000007,0,0
"13478",24,22,17,15,0.165392805893125,0.0699999999999932,0,0
"6368",19,22,22,16,0.165395037513647,0.0599999999999952,0,0
"7718",20,21,17,16,0.165395142373207,0.0499999999999972,0,0
"485",15,20,21,16,0.16539920155259,0.0499999999999998,0,0
"7719",20,23,21,19,0.165402143557998,0.0799999999999983,0,0
"6369",19,22,18,22,0.16540333101802,0.0399999999999991,0,0
"486",15,22,17,25,0.16540518714856,0.0599999999999996,0,0
"3410",17,18,21,20,0.165405704196529,0.0600000000000023,0,0
"1768",16,15,22,25,0.165406859797286,0.0399999999999991,0,0
"4840",18,22,25,23,0.165409172205133,0.0900000000000034,0,0
"487",15,22,18,21,0.165409758488597,0.0800000000000001,0,0
"9138",21,22,20,19,0.165410462335086,0.0600000000000023,0,0
"488",15,17,16,19,0.16541823094998,0.0499999999999998,0,0
"6370",19,23,23,25,0.165423313281424,0.0899999999999963,0,0
"6371",19,15,22,24,0.16542527573214,0.0600000000000023,0,0
"14894",25,24,15,24,0.165426865098933,0.0799999999999841,0,0
"6372",19,19,22,22,0.165430760813405,0.0799999999999983,0,0
"10407",22,21,18,20,0.165432192535398,0.0799999999999983,0,0
"1769",16,15,24,16,0.165443854870436,0.0600000000000005,0,0
"489",15,18,25,21,0.165445783074616,0.0699999999999994,0,0
"1770",16,19,15,20,0.165452433418749,0.0499999999999972,0,0
"4841",18,24,24,22,0.165453869876749,0.0700000000000003,0,0
"13479",24,22,20,25,0.165457212319371,0.0800000000000125,0,0
"490",15,20,20,NA,0.165458569887862,0.05,0,0
"491",15,19,15,18,0.165463101947375,0.0499999999999998,0,0
"492",15,23,23,16,0.16546737408441,0.0700000000000003,0,0
"4842",18,23,16,23,0.165473512864117,0.0499999999999972,0,0
"3411",17,16,17,15,0.165473563201275,0.0500000000000007,0,0
"4843",18,16,20,19,0.165476329773908,0.0399999999999991,0,0
"1771",16,17,19,17,0.165479224316184,0.0300000000000011,0,0
"493",15,22,16,18,0.165479885217168,0.0499999999999998,0,0
"494",15,17,23,17,0.165485792010413,0.0499999999999998,0,0
"495",15,25,20,22,0.165489873652607,0.0800000000000001,0,0
"6373",19,24,22,20,0.165491466522655,0.0700000000000003,0,0
"1772",16,16,17,16,0.16549439097584,0.0299999999999994,0,0
"12094",23,24,25,18,0.165495321624382,0.0699999999999932,0,0
"7720",20,24,16,24,0.165503576555803,0.0599999999999881,0,0
"13480",24,15,17,21,0.165510002233979,0.0799999999999983,0,0
"4844",18,21,24,16,0.165514050482853,0.0700000000000003,0,0
"9139",21,21,17,18,0.165517252332043,0.0700000000000074,0,0
"4845",18,22,25,18,0.165521840532558,0.0600000000000023,0,0
"3412",17,25,22,18,0.1655274053202,0.0399999999999991,0,0
"3413",17,20,25,24,0.165528865175111,0.0599999999999987,0,0
"10408",22,25,21,22,0.165529051216564,0.0799999999999983,0,0
"7721",20,24,16,21,0.165529560785426,0.0499999999999972,0,0
"4846",18,17,16,17,0.165536940737953,0.0300000000000011,0,0
"3414",17,19,17,NA,0.165542514276665,0.04,0,0
"7722",20,23,22,16,0.165545245898321,0.0600000000000023,0,0
"7723",20,23,24,21,0.165545871896736,0.0899999999999892,0,0
