"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
4,4,12,8,0.603836391963833,0.01,0,0
4,4,12,9,0.678812223199605,0.02,0,0
4,4,12,10,0.651859582557791,0.02,0,0
4,4,12,11,0.696771476483488,0.0299999999999999,0,0
4,4,12,12,0.635659137754236,0.03,0,0
4,4,12,13,0.663249029610386,0.0299999999999999,0,0
4,4,12,14,0.667998626255342,0.03,0,0
4,4,13,4,0.666186844691556,0.03,0,0
4,4,13,5,0.609255410175372,0.02,0,0
4,4,13,6,0.673527165542343,0.01,0,0
4,4,13,7,0.649083750131021,0.03,0,0
4,4,13,8,0.62590655194624,0.01,0,0
4,4,13,9,0.651742164813753,0.0199999999999999,0,0
4,4,13,10,0.705540333698784,0.04,0,0
4,4,13,11,0.512372536034466,0.02,0,0
4,4,13,12,0.597104962696688,0.0299999999999999,0,0
4,4,13,13,0.669027729962963,0.03,0,0
4,4,13,14,0.635525938307152,0.01,0,0
4,4,14,4,0.663105431945814,0.01,0,0
4,4,14,5,0.735896293104127,0.02,0,0
4,4,14,6,0.631456256665994,0.02,0,0
4,4,14,7,0.626085379608229,0.01,0,0
4,4,14,8,0.632450147722813,0.01,0,0
4,4,14,9,0.595151658042503,0.01,0,0
4,4,14,10,0.598653221177674,0.02,0,0
4,4,14,11,0.605091876654386,0.03,0,0
4,4,14,12,0.581638077802569,0.0099999999999999,0,0
4,4,14,13,0.718507545117812,0.02,0,0
4,4,14,14,0.617643934481323,0.03,0,0
4,5,4,4,0.64861895398442,0.01,0,0
4,5,4,5,0.648654577705877,0,0,0
4,5,4,6,0.701985464078436,0.01,0,0
4,5,4,7,0.679649168138528,0.01,0,0
4,5,4,8,0.651257777209423,0.0099999999999999,0,0
4,5,4,9,0.679784627034139,0.02,0,0
4,5,4,10,0.673575622619986,0.02,0,0
4,5,4,11,0.665888716507551,0.01,0,0
4,5,4,12,0.644025795623166,0.01,0,0
4,5,4,13,0.666479634822325,0.03,0,0
4,5,4,14,0.658708617721732,0.0199999999999999,0,0
4,5,5,4,0.641629368156298,0.0099999999999999,0,0
4,5,5,5,0.660831172666659,0.01,0,0
