"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
67,68,72,67,36.9456007167099,3.73,0
67,68,72,68,34.1493502860643,3.92,0.00999999999999998
67,68,72,69,38.2392052461059,3.59,0
67,68,72,70,35.2621072804742,3.57,0.00999999999999998
67,68,72,71,39.2160286622062,4.21,0
67,68,72,72,36.8648466617556,4.14,0
67,68,72,73,39.2943183774448,4.06,0
67,68,73,67,36.1923674387671,3.89,0
67,68,73,68,38.0052999697905,4,0
67,68,73,69,34.7653822629543,3.72,0.03
67,68,73,70,36.5113293129769,3.97,0.02
67,68,73,71,38.0530378541958,3.5,0
67,68,73,72,38.9710797986509,3.92,0.02
67,68,73,73,35.7862480204696,3.92,0
67,69,67,67,34.4326113590367,3.63,0
67,69,67,68,36.3651019905261,3.72000000000001,0
67,69,67,69,34.8798484084002,3.62,0.02
67,69,67,70,37.3949994069231,3.57,0
67,69,67,71,40.1338292788485,3.74,0
67,69,67,72,30.5833002744047,3.7,0
67,69,67,73,35.0526817220852,3.27999999999999,0
67,69,68,67,37.8541072284587,3.36,0
67,69,68,68,36.2380812392693,3.62,0
67,69,68,69,34.0788350413221,3.7,0
67,69,68,70,37.9915005848937,3.55,0
67,69,68,71,40.3549840229068,3.49,0
67,69,68,72,40.3600394803917,3.96,0
67,69,68,73,36.9803502005015,3.94,0.00999999999999998
67,69,69,67,35.9891056717991,3.75,0
67,69,69,68,37.8949720458504,3.67,0
67,69,69,69,37.6288403041662,3.58,0
67,69,69,70,37.9709005955885,3.47,0.00999999999999998
67,69,69,71,39.029347365462,3.83000000000001,0
67,69,69,72,36.7572013891096,3.72,0
67,69,69,73,34.8039468626168,3.77,0
67,69,70,67,37.552121960768,3.69,0
67,69,70,68,36.5797614125278,3.65,0
67,69,70,69,34.8859301597501,3.73,0
67,69,70,70,40.8616613319712,4.21,0
67,69,70,71,36.8945672954751,4.02,0.00999999999999998
67,69,70,72,36.3127708205389,4.07,0
67,69,70,73,40.7424028715122,4.01,0
67,69,71,67,35.3571654708054,4.04,0
67,69,71,68,39.9837171044814,3.98,0
67,69,71,69,36.4429334713839,3.78,0
67,69,71,70,33.9466278463028,3.81,0
67,69,71,71,38.601183317302,3.93,0
67,69,71,72,34.253377797116,3.97000000000001,0
67,69,71,73,38.8602574635586,4.22,0
67,69,72,67,37.9040721190068,3.89,0
67,69,72,68,38.8107549302891,4.07,0
67,69,72,69,34.4705888717682,3.89,0
67,69,72,70,33.9230282102203,3.97000000000001,0
67,69,72,71,43.6234052495909,3.99,0.04
67,69,72,72,40.7502282001393,3.93,0
67,69,72,73,35.6077628147901,4.08,0
67,69,73,67,38.1364910374141,4,0
67,69,73,68,36.4491822104581,4.05,0
67,69,73,69,35.9364318672283,3.96,0
67,69,73,70,44.7868535723982,4.27,0
67,69,73,71,37.4420303286047,4.03,0
