"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
7,12,11,12,0.356038645707721,0.01,0
7,12,11,13,0.295557323324695,0.01,0
7,12,12,7,0.337231285049302,0.04,0
7,12,12,8,0.310569394823623,0,0.01
7,12,12,9,0.361776358482484,0.02,0
7,12,12,10,0.390851048027727,0.02,0
7,12,12,11,0.384803034714568,0.0100000000000002,0
7,12,12,12,0.363771931755124,0.02,0
7,12,12,13,0.386270824052655,0.03,0
7,12,13,7,0.314668771188479,0.00999999999999979,0
7,12,13,8,0.340817942484599,0.03,0
7,12,13,9,0.344848525419984,0.02,0
7,12,13,10,0.341296614255787,0.02,0
7,12,13,11,0.384256529795688,0.01,0
7,12,13,12,0.324668527860029,0.0100000000000002,0
7,12,13,13,0.351355595736226,0.03,0
7,13,7,7,0.32180648497675,0.0100000000000002,0
7,13,7,8,0.327673690760012,0.02,0
7,13,7,9,0.305335181631726,0.00999999999999979,0
7,13,7,10,0.335006498913571,0.02,0
7,13,7,11,0.325710375355254,0,0
7,13,7,12,0.394108774454124,0.00999999999999979,0
7,13,7,13,0.437028395738369,0.02,0
7,13,8,7,0.374640374333877,0.0199999999999998,0
7,13,8,8,0.316797613519285,0.04,0
7,13,8,9,0.346205424850614,0.0100000000000002,0
7,13,8,10,0.285141143192692,0.02,0
7,13,8,11,0.332772023019024,0.02,0
7,13,8,12,0.323563556769927,0.00999999999999979,0
7,13,8,13,0.335195996689303,0.02,0
7,13,9,7,0.352799181520719,0.00999999999999979,0
7,13,9,8,0.366044851599297,0.02,0
7,13,9,9,0.353157509742228,0.02,0
7,13,9,10,0.336193080623255,0.02,0
7,13,9,11,0.330177815115984,0.02,0
7,13,9,12,0.332368424876741,0.02,0
7,13,9,13,0.331696207141716,0.04,0
7,13,10,7,0.349493537972711,0.02,0
7,13,10,8,0.354604827219383,0.01,0
7,13,10,9,0.294820512773069,0.02,0
7,13,10,10,0.35186201306321,0.0100000000000002,0
7,13,10,11,0.373895695105682,0.02,0
7,13,10,12,0.380712284480102,0.02,0
7,13,10,13,0.293011020375761,0.02,0
7,13,11,7,0.348803090194717,0.02,0
7,13,11,8,0.366032570710305,0.01,0
7,13,11,9,0.329945753454723,0.02,0
7,13,11,10,0.423429848438802,0.0399999999999998,0
7,13,11,11,0.337066653684827,0.02,0
7,13,11,12,0.328444778161588,0.00999999999999979,0
7,13,11,13,0.338536395400216,0.01,0
7,13,12,7,0.346690874798737,0.0299999999999998,0
7,13,12,8,0.345228821476524,0.02,0
7,13,12,9,0.301148330219237,0.0100000000000002,0
7,13,12,10,0.355327141934989,0.02,0
7,13,12,11,0.302743982286085,0.02,0
7,13,12,12,0.322628507643227,0.02,0
7,13,12,13,0.363399999360975,0.0299999999999998,0
7,13,13,7,0.39673257518599,0.02,0
7,13,13,8,0.339418542755116,0.0299999999999998,0
7,13,13,9,0.356000838232935,0.00999999999999979,0
7,13,13,10,0.301903753398195,0.02,0
7,13,13,11,0.37877898651771,0.0299999999999998,0
7,13,13,12,0.315644342528377,0.02,0
7,13,13,13,0.383279846113586,0.00999999999999979,0
8,7,7,7,0.311035479624291,0,0
8,7,7,8,0.345405038583249,0,0
8,7,7,9,0.324520440135502,0.02,0
8,7,7,10,0.360488809751237,0.0299999999999998,0
8,7,7,11,0.2994679872614,0,0
8,7,7,12,0.350057941639243,0,0
8,7,7,13,0.358194726404408,0,0
8,7,8,7,0.366392023847293,0,0
8,7,8,8,0.438824739403337,0,0
8,7,8,9,0.351062645553601,0,0
8,7,8,10,0.424906436464958,0.01,0
8,7,8,11,0.317602717023062,0.00999999999999979,0
8,7,8,12,0.405558295480633,0.00999999999999979,0
8,7,8,13,0.3218141306528,0.00999999999999979,0
8,7,9,7,0.318734014613989,0,0
8,7,9,8,0.268494117338203,0,0
