"Layer 1","MSE","User Time","CPU Time"
6,157.339833823636,0.04,0.02
7,151.729217676275,0.06,0.01
8,200.025760531539,0.08,0
9,172.667514929457,0.03,0
10,56.8609282150576,0.05,0.01
11,100.701236507183,0.03,0.02
12,121.602490586235,0.05,0.01
"Layer 1","Layer 2","MSE","User Time","CPU Time"
6,6,55.8569049091866,0.06,0
6,7,118.560875227433,0.09,0
6,8,144.109631014628,0.15,0.03
6,9,130.587711925156,0.06,0.02
6,10,92.1474996056666,0.06,0
6,11,74.0562991586089,0.05,0.03
6,12,122.491677182987,0.22,0.01
7,6,67.7916810891829,0.06,0.02
7,7,161.341437730303,0.13,0.02
7,8,95.9231202715897,0.06,0
7,9,112.199251338115,0.08,0
7,10,185.752957104615,0.18,0
7,11,95.2444979047235,0.06,0
7,12,117.123942140773,0.08,0
8,6,100.421477088136,0.06,0
8,7,38.7956795154741,0.04,0
8,8,85.1038442551531,0.05,0
8,9,148.775610660877,0.03,0
8,10,27.7884984062748,0.03,0
8,11,64.3708639045262,0.11,0
8,12,52.5245483611645,0.12,0
9,6,42.2179832567733,0.04,0
9,7,70.276526513308,0.05,0
9,8,54.3356707559955,0.03,0
9,9,62.1423591829526,0.05,0
9,10,42.9455506269321,0.0800000000000001,0
9,11,103.216987460677,0.03,0.02
9,12,57.707410207182,0.05,0
10,6,90.4643181244942,0.03,0
10,7,43.1086239093561,0.05,0
10,8,93.4814509283679,0.04,0
10,9,83.899058604976,0.05,0
10,10,58.104147033769,0.03,0
10,11,115.174464823996,0.05,0
10,12,86.2876908434522,0.0399999999999999,0
11,6,56.3745446442491,0.05,0
11,7,98.6495369534081,0.0600000000000001,0
11,8,57.4126456282007,0.05,0
11,9,112.675979714706,0.05,0
11,10,65.9576954099884,0.05,0
11,11,82.6338852429845,0.03,0
11,12,41.9528217347955,0.0399999999999999,0
12,6,56.2953983875213,0.0399999999999999,0
12,7,59.7449430716679,0.03,0
12,8,89.4089188965587,0.03,0
12,9,137.193321172186,0.0399999999999999,0
12,10,61.6430634088638,0.03,0
12,11,37.1658578059545,0.0600000000000001,0
12,12,43.6981089780726,0.03,0
7,6,6,52.397896148485,0.07,0
7,6,7,172.572124904354,0.11,0
7,6,8,48.4932047339637,0.0800000000000001,0
7,6,9,98.5814801994361,0.0900000000000001,0
7,6,10,117.738534098036,0.0800000000000001,0
7,6,11,60.0218381045753,0.05,0
7,6,12,51.7528989982808,0.07,0
7,7,6,62.8456047779106,0.05,0
7,7,7,40.2051432611931,0.0399999999999999,0
7,7,8,62.8849388483877,0.0700000000000001,0
7,7,9,52.1806268759611,0.05,0
7,7,10,35.9534615301844,0.0800000000000001,0
7,7,11,97.4652235476899,0.12,0
7,7,12,49.8191838928376,0.0700000000000001,0
7,8,6,71.4381659442455,0.05,0
7,8,7,36.8394627247437,0.05,0
7,8,8,40.7671326145962,0.05,0
7,8,9,49.8023667058076,0.0599999999999999,0
7,8,10,71.3437075967389,0.0600000000000001,0
7,8,11,115.111511149776,0.11,0
7,8,12,67.077230830192,0.05,0
7,9,6,49.6745803957404,0.05,0
7,9,7,42.5156717693277,0.11,0
7,9,8,33.1564160448447,0.05,0
7,9,9,51.6549543615164,0.05,0
7,9,10,117.582332247255,0.0800000000000001,0
7,9,11,64.304790738325,0.05,0
7,9,12,38.4294754855537,0.0600000000000001,0
7,10,6,46.2721179488745,0.0600000000000001,0
7,10,7,36.0405195732216,0.11,0
7,10,8,48.4437380034447,0.12,0
7,10,9,36.3780820846485,0.04,0
7,10,10,45.9158453777158,0.0799999999999998,0
7,10,11,75.212686123084,0.11,0
7,10,12,22.5656966356913,0.0899999999999999,0
7,11,6,43.966022562474,0.0600000000000001,0
7,11,7,60.8132948253941,0.0699999999999998,0
7,11,8,38.9828584655279,0.0499999999999998,0
7,11,9,33.6102179494936,0.04,0
7,11,10,57.6456325102551,0.05,0
7,11,11,55.0860917703046,0.0600000000000001,0
7,11,12,57.0204462630983,0.1,0
7,12,6,37.049672733852,0.05,0
7,12,7,32.4303149843352,0.03,0
7,12,8,42.7109547381681,0.05,0
7,12,9,31.2557645454077,0.05,0
7,12,10,47.6443770172548,0.0600000000000001,0
7,12,11,79.3499857034179,0.11,0
7,12,12,39.8309306069415,0.05,0
8,6,6,75.4792727798483,0.12,0
8,6,7,33.9873007460121,0.0700000000000001,0
8,6,8,76.232394638995,0.0800000000000001,0
8,6,9,48.416067227923,0.0799999999999998,0
8,6,10,65.4534137091253,0.2,0
8,6,11,29.1764542393565,0.11,0
8,6,12,61.4172178245767,0.0800000000000001,0
8,7,6,47.4178053243756,0.0599999999999998,0
8,7,7,42.9457206081739,0.05,0
8,7,8,35.2161777952102,0.05,0
8,7,9,35.6155769429738,0.0499999999999998,0
8,7,10,120.721074645097,0.0599999999999998,0
8,7,11,61.009477256332,0.0699999999999998,0
8,7,12,34.4080453513035,0.0900000000000001,0
8,8,6,32.7728006696792,0.04,0
8,8,7,62.3279097863581,0.0700000000000001,0
8,8,8,187.482828227431,0.28,0
8,8,9,91.5650933959268,0.04,0
8,8,10,100.846765080041,0.11,0
8,8,11,60.3107726703528,0.11,0
8,8,12,51.0209702812276,0.03,0
8,9,6,27.2120386001918,0.05,0
8,9,7,38.5254821273326,0.0800000000000001,0
8,9,8,70.3779134415342,0.0600000000000001,0
8,9,9,36.9979590707134,0.05,0
8,9,10,58.7989444915044,0.0600000000000001,0
8,9,11,47.6298478746408,0.0800000000000001,0.00999999999999998
8,9,12,55.4809042032367,0.04,0
8,10,6,105.500542420496,0.0499999999999998,0
8,10,7,48.0725105962347,0.0999999999999999,0
8,10,8,125.484594881882,0.0900000000000001,0
8,10,9,45.1203789321819,0.0799999999999998,0
8,10,10,35.2630924985797,0.0499999999999998,0
8,10,11,48.2478659615482,0.0600000000000001,0
8,10,12,52.4342283631737,0.0599999999999998,0
8,11,6,43.6181613992135,0.0599999999999998,0
8,11,7,73.5744930677576,0.05,0
8,11,8,78.0406777283055,0.1,0
8,11,9,70.7793698067061,0.0499999999999998,0
8,11,10,41.9063810110725,0.05,0
8,11,11,33.1691865165567,0.0800000000000001,0
