"Layer 1","Layer 2","Layer 3","MSE","User Time","CPU Time","Reutilized"
17,16,25,0.179715692987493,0.04,0,0
17,17,15,0.188408222144896,0.04,0,0
17,17,16,0.187715929761725,0.0299999999999998,0,0
17,17,17,0.171021238864583,0.0299999999999998,0,0
17,17,18,0.165080597094518,0.0299999999999998,0,0
17,17,19,0.171305021386552,0.0600000000000001,0,0
17,17,20,0.190438447697367,0.0299999999999998,0,0
17,17,21,0.191357843931634,0.0300000000000002,0,0
17,17,22,0.165068513602331,0.04,0,0
17,17,23,0.208335780731443,0.04,0,0
17,17,24,0.182025610441748,0.04,0,0
17,17,25,0.200693373255813,0.0600000000000001,0,0
17,18,15,0.19173161855211,0.0500000000000003,0,0
17,18,16,0.185682616789768,0.0300000000000002,0,0
17,18,17,0.184200395899597,0.0499999999999998,0,0
17,18,18,0.184731304075316,0.04,0,0
17,18,19,0.174954365701405,0.0299999999999998,0,0
17,18,20,0.143198535193929,0.0499999999999998,0,0
17,18,21,0.168755097325895,0.0600000000000001,0,0
17,18,22,0.176688525366856,0.0500000000000003,0,0
17,18,23,0.163829514613104,0.04,0,0
17,18,24,0.190197541829933,0.0499999999999998,0,0
17,18,25,0.178959964424119,0.0500000000000003,0,0
17,19,15,0.144776520040891,0.0600000000000001,0,0
17,19,16,0.185762283932986,0.0500000000000003,0,0
17,19,17,0.165542514276665,0.04,0,0
17,19,18,0.160140667208644,0.0700000000000003,0,0
17,19,19,0.167724092069709,0.04,0,0
17,19,20,0.199399294637399,0.0499999999999998,0,0
17,19,21,0.172138689150174,0.0300000000000002,0,0
17,19,22,0.153065522051386,0.0600000000000001,0,0
17,19,23,0.183969395614624,0.0500000000000003,0,0
17,19,24,0.204513131172714,0.0699999999999998,0,0
17,19,25,0.166350579799382,0.0499999999999998,0,0
17,20,15,0.166982626205178,0.0299999999999998,0,0
17,20,16,0.193807564769892,0.0300000000000002,0,0
17,20,17,0.201423688364789,0.0300000000000002,0,0
17,20,18,0.171561455955931,0.0500000000000003,0,0
17,20,19,0.214432288277738,0.04,0,0
17,20,20,0.182330099561693,0.0300000000000002,0,0
17,20,21,0.179595751652337,0.0499999999999998,0,0
17,20,22,0.158466764655825,0.04,0,0
17,20,23,0.160205320269929,0.0499999999999998,0,0
17,20,24,0.200955976088403,0.0599999999999996,0,0
17,20,25,0.237012545602207,0.0700000000000003,0,0
17,21,15,0.164533382035388,0.0499999999999998,0,0
17,21,16,0.188836782363767,0.00999999999999979,0,0
17,21,17,0.176169880705626,0.0499999999999998,0,0
17,21,18,0.172353782677805,0.0499999999999998,0,0
17,21,19,0.160469394587426,0.0699999999999998,0,0
17,21,20,0.17057038296809,0.0600000000000001,0,0
17,21,21,0.196415336813103,0.04,0,0
17,21,22,0.203308518440627,0.04,0,0
17,21,23,0.167181588635194,0.0700000000000003,0,0
17,21,24,0.16589788805514,0.0299999999999998,0,0
17,21,25,0.159049874287999,0.04,0,0
17,22,15,0.196104195068366,0.0299999999999998,0,0
17,22,16,0.155502326758193,0.0499999999999998,0,0
17,22,17,0.164752640895489,0.0600000000000001,0,0
17,22,18,0.206531479179587,0.0500000000000003,0,0
17,22,19,0.192995526449416,0.0500000000000003,0,0
17,22,20,0.175695035802215,0.0500000000000003,0,0
17,22,21,0.15380897479099,0.0600000000000001,0,0
17,22,22,0.152813410787177,0.0499999999999998,0,0
17,22,23,0.154717309618687,0.0600000000000001,0,0
17,22,24,0.192061192915475,0.0600000000000001,0,0
17,22,25,0.174959434604974,0.0600000000000001,0,0
17,23,15,0.16897364438071,0.0600000000000001,0,0
17,23,16,0.154330504901776,0.0500000000000003,0,0
17,23,17,0.192166130339684,0.0299999999999998,0,0
17,23,18,0.188768437604931,0.0499999999999998,0,0
17,23,19,0.186405775753019,0.0499999999999998,0,0
17,23,20,0.181155823143332,0.0300000000000002,0,0
17,23,21,0.197205549293192,0.0500000000000003,0,0
17,23,22,0.200517618934448,0.0499999999999998,0,0
17,23,23,0.167510913037588,0.04,0,0
17,23,24,0.162759152928755,0.0600000000000001,0,0
17,23,25,0.195733665412019,0.0600000000000001,0,0
17,24,15,0.174718866844235,0.0299999999999998,0.02,0
17,24,16,0.179432672195065,0.04,0,0
17,24,17,0.156513006357847,0.0299999999999998,0,0
17,24,18,0.164008630337606,0.0300000000000002,0,0
17,24,19,0.194581632645372,0.0600000000000001,0,0
17,24,20,0.144079014307337,0.0499999999999998,0,0
17,24,21,0.212136305413249,0.04,0,0
17,24,22,0.183187473372191,0.0600000000000001,0,0
17,24,23,0.175140086946765,0.0699999999999998,0,0
17,24,24,0.202240085816589,0.0500000000000003,0,0
17,24,25,0.186216397904041,0.0600000000000001,0,0
17,25,15,0.200556664993238,0.0600000000000001,0,0
17,25,16,0.220505376430866,0.02,0.01,0
17,25,17,0.175281949142945,0.0499999999999998,0,0
17,25,18,0.181237188387015,0.0299999999999998,0,0
17,25,19,0.137759772292348,0.0600000000000001,0,0
17,25,20,0.193772651732264,0.0499999999999998,0,0
17,25,21,0.157296766602591,0.0499999999999998,0,0
17,25,22,0.148828252470887,0.0300000000000002,0,0
17,25,23,0.179413927857985,0.0500000000000003,0,0
17,25,24,0.192497433818167,0.0300000000000002,0,0
17,25,25,0.188534197086634,0.04,0,0
18,15,15,0.181665044827621,0.0299999999999998,0,0
18,15,16,0.173847535230406,0.04,0,0
18,15,17,0.161617972630856,0.0499999999999998,0,0
18,15,18,0.262018823879563,0.0499999999999998,0,0
18,15,19,0.210817293515496,0.0499999999999998,0,0
18,15,20,0.170305336964736,0.0299999999999998,0,0
18,15,21,0.172933601340985,0.0300000000000002,0,0
18,15,22,0.174268882113121,0.0499999999999998,0,0
18,15,23,0.150985672638379,0.0500000000000003,0,0
18,15,24,0.195860574637728,0.0499999999999998,0,0
18,15,25,0.157917216826037,0.0499999999999998,0,0
18,16,15,0.157474275968095,0.0499999999999998,0,0
18,16,16,0.172429522048327,0.0299999999999998,0,0
18,16,17,0.185723169842284,0.0500000000000003,0,0
18,16,18,0.225883085992618,0.0700000000000003,0,0
18,16,19,0.224685559910657,0.0699999999999998,0,0
18,16,20,0.157058248124163,0.0299999999999998,0,0
18,16,21,0.179846065290193,0.0499999999999998,0,0
18,16,22,0.217131339519316,0.0299999999999998,0,0
18,16,23,0.172256284285897,0.0300000000000002,0,0
18,16,24,0.163823015092319,0.0499999999999998,0,0
18,16,25,0.211926471233475,0.0600000000000001,0,0
18,17,15,0.17638186623003,0.0300000000000002,0,0
18,17,16,0.237902441248581,0.0299999999999998,0,0
18,17,17,0.192283310366126,0.04,0,0
18,17,18,0.155484954528853,0.0499999999999998,0,0
18,17,19,0.224182152298975,0.04,0,0
18,17,20,0.171803654935233,0.0500000000000003,0,0
18,17,21,0.176934978749079,0.0299999999999998,0,0
18,17,22,0.149907661994043,0.0499999999999998,0,0
18,17,23,0.17865373848018,0.04,0,0
18,17,24,0.169969354272784,0.0300000000000002,0,0
18,17,25,0.195262128566596,0.04,0,0
18,18,15,0.192270022158832,0.0499999999999998,0,0
18,18,16,0.167884646171579,0.0499999999999998,0,0
18,18,17,0.15507441623917,0.0499999999999998,0,0
18,18,18,0.173785728197319,0.0299999999999998,0,0
18,18,19,0.147930898154247,0.0500000000000003,0.01,0
